entry_id,date,utr,narration,credit,debit,balance,channel
bnk_101,2026-08-02,RZP223005401501,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP223005401501-NODAL,487.22,0.0,1500000.0,NEFT
bnk_102,2026-08-02,RZP908053162473,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP908053162473-NODAL,487.22,0.0,1501000.0,NEFT
bnk_103,2026-08-02,RZP136171878809,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP136171878809-NODAL,487.22,0.0,1502000.0,NEFT
bnk_104,2026-08-02,RZP763595448017,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP763595448017-NODAL,487.22,0.0,1503000.0,NEFT
bnk_105,2026-08-02,RZP871590378377,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP871590378377-NODAL,4881.02,0.0,1504000.0,NEFT
bnk_106,2026-08-03,RZP407473554860,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP407473554860-NODAL,11716.8,0.0,1505000.0,NEFT
bnk_107,2026-08-03,RZP566854953850,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP566854953850-NODAL,1463.62,0.0,1506000.0,NEFT
bnk_108,2026-08-03,RZP941629821539,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP941629821539-NODAL,1463.62,0.0,1507000.0,NEFT
bnk_109,2026-08-03,RZP491257417623,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP491257417623-NODAL,11716.8,0.0,1508000.0,NEFT
bnk_110,2026-08-03,RZP150711229823,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP150711229823-NODAL,7323.0,0.0,1509000.0,NEFT
bnk_111,2026-08-03,RZP187525138707,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP187525138707-NODAL,4881.02,0.0,1510000.0,NEFT
bnk_112,2026-08-03,RZP498837994177,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP498837994177-NODAL,4881.02,0.0,1511000.0,NEFT
bnk_113,2026-08-03,RZP826046287257,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP826046287257-NODAL,975.42,0.0,1512000.0,NEFT
bnk_114,2026-08-03,RZP211095701426,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP211095701426-NODAL,2440.02,0.0,1513000.0,NEFT
bnk_115,2026-08-03,RZP503014435550,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP503014435550-NODAL,975.42,0.0,1514000.0,NEFT
bnk_116,2026-08-03,RZP394936156580,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP394936156580-NODAL,7323.0,0.0,1515000.0,NEFT
bnk_117,2026-08-03,RZP684850587137,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP684850587137-NODAL,7323.0,0.0,1516000.0,NEFT
bnk_118,2026-08-04,RZP397982492151,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP397982492151-NODAL,7323.0,0.0,1517000.0,NEFT
bnk_119,2026-08-04,RZP953703406284,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP953703406284-NODAL,487.22,0.0,1518000.0,NEFT
bnk_120,2026-08-04,RZP447055029070,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP447055029070-NODAL,2440.02,0.0,1519000.0,NEFT
bnk_121,2026-08-04,RZP446680801999,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP446680801999-NODAL,975.42,0.0,1520000.0,NEFT
bnk_122,2026-08-04,RZP256589576361,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP256589576361-NODAL,1463.62,0.0,1521000.0,NEFT
bnk_123,2026-08-04,RZP690821577339,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP690821577339-NODAL,1463.62,0.0,1522000.0,NEFT
bnk_124,2026-08-04,RZP496852403351,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP496852403351-NODAL,975.42,0.0,1523000.0,NEFT
bnk_125,2026-08-04,RZP929319141080,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP929319141080-NODAL,487.22,0.0,1524000.0,NEFT
bnk_126,2026-08-04,RZP968270511233,NEFT-RAZORPAY PAYMENT SOLUTIONS INDIA-RZP968270511233-NODAL,7323.0,0.0,1525000.0,NEFT
